UPDATED,ENTRY_DATE,EVENT_LCL_DATE,EVENT_LCL_TIME,LOC_CITY_NAME,LOC_STATE_NAME,LOC_CNTRY_NAME,RMK_TEXT,EVENT_TYPE_DESC,FSDO_DESC,REGIST_NBR,FLT_NBR,ACFT_OPRTR,ACFT_MAKE_NAME,ACFT_MODEL_NAME,ACFT_MISSING_FLAG,ACFT_DMG_DESC,FLT_ACTIVITY,FLT_PHASE,FAR_PART,MAX_INJ_LVL,FATAL_FLAG,FLT_CRW_INJ_NONE,FLT_CRW_INJ_MINOR,FLT_CRW_INJ_SERIOUS,FLT_CRW_INJ_FATAL,FLT_CRW_INJ_UNK,CBN_CRW_INJ_NONE,CBN_CRW_INJ_MINOR,CBN_CRW_INJ_SERIOUS,CBN_CRW_INJ_FATAL,CBN_CRW_INJ_UNK,PAX_INJ_NONE,PAX_INJ_MINOR,PAX_INJ_SERIOUS,PAX_INJ_FATAL,PAX_INJ_UNK,GRND_INJ_NONE,GRND_INJ_MINOR,GRND_INJ_SERIOUS,GRND_INJ_FATAL,GRND_INJ_UNK
No,27-FEB-24,26-FEB-24,19:40:00Z,CASPER,WYOMING,UNITED STATES,"AIRCRAFT COMPLETED PIPELINE FLIGHT, LANDED IN WINDY CONDITIONS AND FLIPPED OVER, CASPER, WY.",ACCIDENT,DENVER FSDO,N739UE,,,CESSNA,172,No,SUBSTANTIAL,OTHER,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,27-FEB-24,26-FEB-24,12:59:00Z,ST PETERSBURG,FLORIDA,UNITED STATES,"AIRCRAFT DEPARTED, DELCARED AN EMERGENCY DUE TO A BLOWN TIRE AND RETURNED TO LAND AND STRUCK A RUNWAY LIGHT, ST PETERSBURG, FL.",INCIDENT,TAMPA FSDO,N989AW,,,LEARJET,55,No,UNKNOWN,UNKNOWN,TAKEOFF (TOF),91.0,NONE,No,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
No,27-FEB-24,26-FEB-24,21:42:00Z,CLARION,IOWA,UNITED STATES,"AIRCRAFT LANDED IN GUSTY CONDITIONS, VEERED OFF RUNWAY AND FLIPPED OVER, CLARION, IA.",ACCIDENT,DES MOINES FSDO,N35719,,,CESSNA,172,No,SUBSTANTIAL,PERSONAL,LANDING (LDG),91.0,MINOR,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,23-FEB-24,18:37:00Z,MIAMI,FLORIDA,UNITED STATES,"AIRCRAFT LANDED HARD ON THE WATER CAUSING THE WING TO CATCH AND OVERTURNED, MIAMI, FL.",INCIDENT,SOUTH FLORIDA FSDO,N85WL,,,CESSNA,208,No,UNKNOWN,UNKNOWN,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
No,26-FEB-24,23-FEB-24,15:40:00Z,TRUTH OR CONSEQUENCES,NEW MEXICO,UNITED STATES,"AIRCRAFT LANDED AND FLIPPED OVER AFTER VEERING OFF RUNWAY, TRUTH OR CONSEQUENCES, NM.",INCIDENT,ALBUQUERQUE FSDO,N2669K,,,LUSCOMBE,8E,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,25-FEB-24,23:15:00Z,WATERTOWN,SOUTH DAKOTA,UNITED STATES,"AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED INTO TREES OFF THE DEPARTURE END OF THE RUNWAY, WATERTOWN, SD.",INCIDENT,RAPID CITY FSDO,N38696,,,PIPER,PA28,No,UNKNOWN,INSTRUCTION,INITIAL CLIMB (ICL),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,26-FEB-24,25-FEB-24,03:45:00Z,AUSTIN,TEXAS,UNITED STATES,"AIRCRAFT STRUCK BIRDS AND POST FLIGHT INSPECTION REVEALED DENTS TO THE #1 ENGINE, AUSTIN, TX.",INCIDENT,SAN ANTONIO FSDO,N320US,DAL2260,DELTA AIRLINES,AIRBUS,A320,No,MINOR,COMMERCIAL,EN ROUTE (ENR),121.0,NONE,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,24-FEB-24,16:50:00Z,PRESCOTT,ARIZONA,UNITED STATES,"AIRCRAFT STRUCK A BIRD LEAVING A SMALL DENT, PRESCOTT, AZ.",INCIDENT,SCOTTSDALE FSDO,N659ER,ERU59,EMBRY RIDDLE AERONAUTICAL UNIVERSITY,TEXTRON,172,No,UNKNOWN,FAR 141 PILOT SCHOOL,EN ROUTE (ENR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,25-FEB-24,17:20:00Z,TAUNTON,MASSACHUSETTS,UNITED STATES,"AIRCRAFT LANDED GEAR UP, TAUNTON, MA.",INCIDENT,BOSTON FSDO,N66TV,,,PIPER,PA23,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,25-FEB-24,19:28:00Z,PATTERSON,LOUISIANA,UNITED STATES,"AIRCRAFT DEPARTED, EXPERIENCED ENGINE ISSUES, ATTEMPTED TO LAND ON RUNWAY, CRASHED AND HIT A FENCE AND POST CRASH FIRE, PATTERSON, LA.",INCIDENT,BATON ROUGE FSDO,N72BH,,,EXPERIMENTAL,HARTLINE PULSAR I,No,UNKNOWN,PERSONAL,TAKEOFF (TOF),91.0,MINOR,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,24-FEB-24,15:03:00Z,CAPE CORAL,FLORIDA,UNITED STATES,"AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED ON A PARKWAY, CAPE CORAL, FL.",INCIDENT,TAMPA FSDO,N282SV,,,BELLANCA,17-30A,No,UNKNOWN,PERSONAL,UNKNOWN (UNK),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,25-FEB-24,20:48:00Z,GRANGER,TEXAS,UNITED STATES,"AIRCRAFT CRASHED AND BECAME SUBMERGED WHILE LANDING ON GRANGER LAKE, GRANGER, TX.",INCIDENT,SAN ANTONIO FSDO,N360MD,,,PROGRESSIVE AERODYNE,SEAREY,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,UNKNOWN,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,23-FEB-24,21:01:00Z,SOUTH BEND,INDIANA,UNITED STATES,"AIRCRAFT RAN OFF THE RUNWAY INTO SAFETY AREA ON LANDING INCURRING A PROP STRIKE, SOUTH BEND, IN.",INCIDENT,GREATER CHICAGO FSDO,N515DS,,,CESSNA,T206,No,UNKNOWN,UNKNOWN,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,26-FEB-24,24-FEB-24,00:28:00Z,BURNS,OREGON,UNITED STATES,"AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED ON A ROAD, BURNS, OR.",INCIDENT,BOISE FSDO,N750YB,,,ZENITH,STOL CH750,No,UNKNOWN,PERSONAL,EN ROUTE (ENR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,23-FEB-24,23:10:00Z,FOND DU LAC,WISCONSIN,UNITED STATES,"AIRCRAFT ATTEMPTED TO LAND, BUT DUE TO DEER ON THE RUNWAY TRIED TO LAND ON TAXIWAY AND HIT A CULVERT, FOND DU LAC, WI.",ACCIDENT,MILWAUKEE FSDO,N969WT,,,MOONEY,M20T,No,SUBSTANTIAL,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,26-FEB-24,24-FEB-24,20:45:00Z,HALF MOON BAY,CALIFORNIA,UNITED STATES,"AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE A PRECAUTIONARY LANDING IN A PARKING LOT, HALF MOON BAY, CA.",INCIDENT,SAN JOSE FSDO,N997VA,,,ROBINSON,R44,No,NONE,UNKNOWN,EN ROUTE (ENR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,26-FEB-24,24-FEB-24,05:08:00Z,ATLANTIC CITY,NEW JERSEY,UNITED STATES,"AIRCRAFT LANDED AND VEERED OFF RUNWAY INTO THE GRASS DAMAGING LEFT WING, ATLANTIC CITY, NJ.",INCIDENT,PHILADELPHIA FSDO,N8356X,,,PIPER,PA34,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,UNKNOWN,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,23-FEB-24,21:48:00Z,TULSA,OKLAHOMA,UNITED STATES,"AIRCRAFT LANDED AND VEERED OFF RUNWAY DAMAGING NOSE GEAR AND PROP, TULSA, OK.",INCIDENT,WILL ROGERS FSDO,N3645W,,,PIPER,PA32,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,26-FEB-24,24-FEB-24,14:17:00Z,JACKSON,OHIO,UNITED STATES,"AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AND POST CRASH FIRE, JACKSON, OH.",ACCIDENT,CINCINNATI FSDO,N8963N,,,PIPER,PA32,No,DESTROYED,PERSONAL,INITIAL CLIMB (ICL),91.0,FATAL,Yes,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
No,26-FEB-24,24-FEB-24,21:50:00Z,MESQUITE,TEXAS,UNITED STATES,"AIRCRAFT STRUCK A BIRD DAMAGING FRONT LANDING GEAR, MESQUITE, TX.",INCIDENT,NORTH TEXAS FSDO,N13982,,,PIPER,PA23,No,UNKNOWN,PERSONAL,APPROACH (APR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,26-FEB-24,02:06:00Z,BARSTOW,CALIFORNIA,UNITED STATES,"AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE AN EMERGENCY LANDING IN A DRY LAKE BED, BARSTOW, CA.",INCIDENT,RIVERSIDE FSDO,N22741,,,CESSNA,150,No,UNKNOWN,PERSONAL,EN ROUTE (ENR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,24-FEB-24,18:52:00Z,ATLANTA,GEORGIA,UNITED STATES,"AIRCRAFT LANDED AND VEERED OFF RUNWAY INTO THE GRASS AND HIT AN AIRPORT MARKING SIGN, ATLANTA, GA.",INCIDENT,ATLANTA FSDO,N30169,,,WACO,UPF-7,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,26-FEB-24,25-FEB-24,22:35:00Z,MOULTONBOROUGH,NEW HAMPSHIRE,UNITED STATES,"AIRCRAFT ON LANDING AND CRASHED INTO THE WOODS, MOULTONBOROUGH, NH.",INCIDENT,PORTLAND ME FSDO,N43892,,,TAYLORCRAFT,BC12-D,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,26-FEB-24,23-FEB-24,15:45:00Z,GAREY,CALIFORNIA,UNITED STATES,"AIRCRAFT CRASHED IN A FIELD, GAREY, CA.",ACCIDENT,VAN NUYS FSDO,N2618W,,,BELL,47G-3B-1,No,SUBSTANTIAL,AERIAL APPLICATION,MANEUVERING (MNV),137.0,UNKNOWN,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,23-FEB-24,23-FEB-24,00:00:00Z,RICHLAND CENTER,WISCONSIN,UNITED STATES,"AIRCRAFT DEPARTED AND SHORTLY AFTERWARD CRASHED UNDER UNKNOWN CIRCUMSTANCES, RICHLAND CENTER, WI.",ACCIDENT,MILWAUKEE FSDO,N750WW,,,ZENITH,CH750 STOL,No,SUBSTANTIAL,PERSONAL,TAKEOFF (TOF),91.0,SERIOUS,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,23-FEB-24,23-FEB-24,00:12:00Z,SAN ANDREAS,CALIFORNIA,UNITED STATES,"AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AND SUSPENDED IN TREES, SAN ANDREAS, CA.",INCIDENT,SACRAMENTO FSDO,N1611E,,,AERONCA,7AC,No,UNKNOWN,PERSONAL,APPROACH (APR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,23-FEB-24,23-FEB-24,02:00:00Z,BURBANK,CALIFORNIA,UNITED STATES,"AIRCRAFT LANDED AND TAXIING TO THE GATE THE LEFT WING STRUCK A FUEL TRUCK, BURBANK, CA.",INCIDENT,VAN NUYS FSDO,N461AS,ASA1150,ALASKA AIRLINES,BOEING,737,No,UNKNOWN,COMMERCIAL,TAXI (TXI),121.0,NONE,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,23-FEB-24,22-FEB-24,21:25:00Z,WEIPPE,IDAHO,UNITED STATES,"AIRCRAFT DEPARTED AND THE ENGINE WAS LEAKING OIL AND HITTING THE WINDSHIELD, RETURNED TO THE AIRPORT FOR A SOFT FIELD LANDING AND THE NOSE WHEEL BECAME STUCK IN THE MUD AND FLIPPED OVER, WEIPPE, ID.",INCIDENT,SPOKANE FSDO,N6323B,,,CESSNA,182,No,MINOR,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,23-FEB-24,22-FEB-24,20:53:00Z,DULUTH,MINNESOTA,UNITED STATES,"AIRCRAFT LANDED WITH THE NOSE GEAR RETRACTED, DULUTH, MN.",INCIDENT,MINNEAPOLIS FSDO,N8439A,,,PIPER,PA34,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,23-FEB-24,23-FEB-24,05:15:00Z,WICHITA FALLS,TEXAS,UNITED STATES,"AIRCRAFT LANDED HARD, BOUNCED, GEAR COLLAPSED AND INCURRED A PROP STRIKE, WICHITA FALLS, TX.",INCIDENT,LUBBOCK FSDO,N9711M,,,MOONEY,M20F,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yes,22-FEB-24,22-FEB-24,02:45:00Z,FORT LAUDERDALE,FLORIDA,UNITED STATES,"AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, FORT LAUDERDALE, FL.",ACCIDENT,SOUTH FLORIDA FSDO,N155WF,,,MITSUBISHI,MU-2B-40,No,SUBSTANTIAL,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,22-FEB-24,21-FEB-24,18:03:00Z,KNOXVILLE,TENNESSEE,UNITED STATES,"AIRCRAFT LANDED GEAR UP, KNOXVILLE, TN.",INCIDENT,NASHVILLE FSDO,N258WP,,,CESSNA,310,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,22:35:00Z,LAOTTO,INDIANA,UNITED STATES,"AIRCRAFT ATTEMPTED TO LAND IN A FIELD, THE SUN OBSTRUCTED THE PILOT'S VISION, STRUCK A TREE AND CRASHED, LAOTTO, IN.",INCIDENT,GRAND RAPIDS FSDO,N358AK,,,CUBCRAFTERS,CCX-2000,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,MINOR,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,19-FEB-24,22:30:00Z,SAN FRANCISCO,CALIFORNIA,UNITED STATES,"AIRCRAFT RIGHT HAND SIDE INBOARD SLAT BROKE OFF DURING DEPARTURE, SAN FRANCISCO, CA.",INCIDENT,OAKLAND FSDO,N57111,UAL354C,UNITED AIRLINES,BOEING,757,No,UNKNOWN,COMMERCIAL,TAKEOFF (TOF),121.0,NONE,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,19:15:00Z,HANA,HAWAII,UNITED STATES,"AIRCRAFT TAIL ROTOR WAS HIT WITH UNSECURED RAIN GEAR THAT FLEW OUT, HANA, HI.",ACCIDENT,HONOLULU FSDO,N690WA,,,HUGHES,369,No,SUBSTANTIAL,PERSONAL,EN ROUTE (ENR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,22:25:00Z,AUSTIN,TEXAS,UNITED STATES,"AIRCRAFT TAXIED TOO CLOSE BEHIND N219JA AND FLIPPED OVER, AUSTIN, TX.",ACCIDENT,SAN ANTONIO FSDO,N6762A,,,CESSNA,172,No,SUBSTANTIAL,PERSONAL,TAXI (TXI),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,12:30:00Z,FARMINGDALE,NEW YORK,UNITED STATES,"AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED ON SOUTHERN STATE PARKWAY, FARMINGDALE, NY.",INCIDENT,FARMINGDALE FSDO,N33667,,,PIPER,PA28,No,UNKNOWN,PERSONAL,APPROACH (APR),91.0,MINOR,No,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,15:15:00Z,PUNTA GORDA,FLORIDA,UNITED STATES,"AIRCRAFT VEERED OFF RUNWAY INTO THE GRASS WHILE LANDING, PUNTA GORDA, FL.",INCIDENT,TAMPA FSDO,N154PA,,,PIPER,PA28,No,UNKNOWN,INSTRUCTION,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,19:41:00Z,MARKS,MISSISSIPPI,UNITED STATES,"AIRCRAFT BOUNCED ON LANDING, BECAME AIRBORNE, STALLED AND CRASHED IN THE GRASS, MARKS, MS.",ACCIDENT,JACKSON FSDO,N14YY,,,CESSNA,182,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,SERIOUS,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
